Ecotype	Latitude	Longitude	num	ID
C347	-40.33333333	-72.86666667	1	outgroup
C351	-38.23333333	-71.25	1	outgroup
Commersonii	-33.96694444	-58.45	1	wild
C559	-31.76666667	-52.33333333	1	wild
C554	-25.9	-65.5	1	wild
C552	-23.6	-65.13333333	1	wild
C872	-22.25	-65.0667	1	wild
C580	-22.1	-66.13333333	1	wild
C408	-18.95	-65.36666667	1	wild
C031	-17.45	-67.5166	1	landrace
C056	-16.5	-68.15	1	landrace
C093	-16.2729	-69.2931	1	landrace
C001	-16.2459	-69.0918	1	landrace
C163	-14.4153	-73.2051	1	landrace
C574	-14.16666667	-71.1	1	candolleanum
C454	-14.0505	-73.0877	1	candolleanum
C419	-13.65	-73.38333333	1	candolleanum
C005	-13.4572	-72.2572	1	landrace
C373	-13.43333333	-71.85	1	wild
C382	-13.23333333	-72.5	1	wild
C151	-12.9681	-73.9977	1	landrace
C174	-10.7725	-75.8128	1	landrace
C399	-10.5	-76.5	1	candolleanum
C098	-10.4291	-76.4509	1	landrace
C115	-9.845	-75.9037	1	landrace
C550	-9.325	-77.5619	1	wild
C450	-9.19	-75.0152	1	wild
C390	-8.63333333	-77.6	1	wild
C813	-7.2103	-78.4008	1	wild
C369	-7.1617	-78.5128	1	wild
C522	-7.1617	-78.5128	1	wild
C533	-5.23333333	-79.46666667	1	wild
C058	0.9	-77.5333	1	landrace
C426	0.9	-77.78333333	1	landrace
C190	1.16666667	-77.16666667	1	landrace
C361	1.21666667	-77.28333333	1	wild
C118	2.6136	-76.3775	1	landrace
C219	4.5709	-74.2973	1	landrace
C514	14.76666667	-91	1	wild
C656	18.85	-101.8867	1	wild
C356	20.91666667	-100.75	1	wild
C447	32.48333333	-108.5166667	1	wild
C337	56.1304	-106.3468	1	landrace
